행정 용어,쉬운 한국어 풀이,영어,베트남어,중국어,일본어
기준 중위소득,대한민국 국민을 소득순으로 세웠을 때 딱 중간에 있는 사람의 소득,Standard Median Income,Thu nhập trung bình chuẩn,标准中位数收入,基準中位所得
차상위계층,기초생활수급자는 아니지만 그 바로 위 단계로 형편이 어려운 계층,Second-lowest Income Bracket,Hộ cận nghèo,次低收入群体,次上位階層
부양의무자,"나를 경제적으로 먹여 살려야 할 책임이 있는 가족 (부모, 자식 등)",Person Liable for Support,Người có nghĩa vụ cấp dưỡng,抚养义务人,扶養義務者
확정일자,이사 온 날짜를 관공서에서 공식적으로 도장 찍어 인정해 주는 것,Fixed Date,Ngày xác nhận trên hợp đồng thuê nhà,确定日期（租赁合同确认日）,確定日付
전입신고,내가 이 동네로 이사 왔다고 주민센터에 공식적으로 알리는 것,Move-in Notification (Address registration),Khai báo chuyển chỗ ở,迁入申报 (户口迁入),転入届
바우처,현금 대신 정부에서 주는 포인트 카드나 쿠폰,Voucher (Government Subsidy Card),Thẻ trợ cấp (Voucher),福利券 (代金券),バウチャー (利用券)
수급자,정부의 복지 혜택이나 지원금을 받을 자격이 통과된 사람,Beneficiary,Người thụ hưởng,受益者,受給者
가구원 수,"주민등록등본에 나와 있는, 같이 사는 가족의 총인원 수",Number of household members,Số người trong hộ gia đình,家庭成员数,世帯員数
단기근로자,계약 기간이 짧거나 하루에 일하는 시간이 짧은 알바생,Short-term Worker,Lao động ngắn hạn,短期劳动者 (打工者),短期労働者
임대차 계약서,방이나 집을 빌릴 때 집주인과 작성하는 공식 계약 서류,Lease Agreement,Hợp đồng thuê nhà,房屋租赁合同,賃貸借契約書
소득인정액,"내 월급과 재산(집, 차 등)을 합쳐서 정부가 계산한 나의 경제적 능력",Recognized Income Amount,Thu nhập được công nhận,认定收入额,所得認定額
주민등록등본,"우리 가족이 어디에 사는지, 누가 같이 사는지 보여주는 공식 서류",Certified Copy of Resident Registration,Bản sao giấy đăng ký cư trú,住民登录表（誊本）,住民登録謄本
보증금,집이나 방을 빌릴 때 집주인에게 맡겼다가 나중에 돌려받는 큰 돈,Security Deposit,Tiền cọc (Tiền bảo lãnh),保证金 (押金),保証金 (敷金)
청년수당,취업 준비를 하거나 소득이 적은 청년에게 정부가 주는 지원금,Youth Allowance,Trợ cấp thanh niên,青年津贴,青年手当
연말정산,1년 동안 낸 세금을 확인해서 더 냈으면 돌려받고 덜 냈으면 더 내는 것,Year-end Tax Settlement,Quyết toán thuế cuối năm,年末个人所得税清算,年末調整
소득분위,전체 가구의 소득을 1~10단계로 나눈 것 (1이 가장 낮음),Income Decile,Phân khúc thu nhập,收入分位,所得分位
실업급여,일자리를 잃었을 때 다시 직장을 구할 때까지 정부가 주는 돈,Unemployment Benefits,Trợ cấp thất nghiệp,失业救济金,失業給付
공공임대주택,정부나 공공기관이 저렴한 가격에 빌려주는 아파트나 빌라,Public Rental Housing,Nhà ở xã hội cho thuê,公共租赁住房,公共賃貸住宅
가구 분리,부모님과 같이 살다가 따로 나와서 주소지를 옮기는 것,Household Separation,Tách hộ,户口分离 (分户),世帯分離
건강보험료 납부확인서,내가 건강보험료를 잘 냈는지 증명하는 서류,Health Insurance Payment Certificate,Giấy xác nhận đóng bảo hiểm y tế,健康保险费缴纳证明,健康保険料納付確認書
외국인등록증,한국에 오래 머무는 외국인에게 발급되는 신분증,Alien Registration Card (ARC),Thẻ đăng ký người nước ngoài,外国人登录证,外国人登録証
다문화가족,서로 다른 국적을 가진 사람들이 만나 이룬 가족,Multicultural Family,Gia đình đa văn hóa,多文化家庭,多文化家族
긴급복지지원,"갑작스러운 위기(질병, 실직 등)로 당장 도움이 필요한 사람을 돕는 제도",Emergency Welfare Support,Hỗ trợ phúc lợi khẩn cấp,紧急福利支援,緊急福祉支援
국민연금,나이가 들거나 일을 못 하게 될 때를 대비해 나라에 맡겨두는 돈,National Pension,Lương hưu quốc gia,国民养老金,国民年金
기초연금,65세 이상 어르신 중 형편이 어려운 분들께 매달 드리는 돈,Basic Pension,Trợ cấp hưu trí cơ bản,基础养老金,基礎年金
재산가액,"내가 가진 집, 땅, 자동차 등을 돈으로 환산한 금액",Asset Value,Giá trị tài sản,财产价值,財産価額
중복 수혜,비슷한 정부 혜택을 두 번 이상 받는 것 (보통 하나만 선택해야 함),Duplicate Benefits,Thụ hưởng trùng lặp,重复受领,重複受給
가산점,"특정 조건(장애, 다자녀 등)을 갖췄을 때 혜택 심사에서 점수를 더해주는 것",Extra Points,Điểm cộng,加分,加点
본인 부담금,정부 지원 외에 내가 직접 내야 하는 돈,Out-of-pocket Cost,Khoản tự chi trả,个人负担费用,自己負担金
근로장려금,열심히 일하지만 소득이 적은 가구에게 국가가 주는 지원금,Earned Income Tax Credit,Tiền thưởng khuyến khích làm việc,劳动奖励金 (勤工奖),勤労奨励金
자녀장려금,아이를 키우는 저소득 가구의 양육비를 돕기 위해 주는 지원금,Child Tax Credit,Tiền thưởng nuôi con,子女奖励金,子女奨励金
주거급여,월세가 부담되거나 집 수리가 필요한 분들에게 나라가 주는 돈,Housing Benefit,Trợ cấp nhà ở,住房补贴,住居給付
국민취업지원제도,취업을 준비하는 사람에게 수당을 주며 일자리를 찾아주는 제도,National Employment Support System,Chế độ hỗ trợ việc làm quốc gia,国民就业支援制度,国民就業支援制度
내일배움카드,원하는 기술을 배울 수 있도록 교육비를 지원해 주는 카드,National Tomorrow Learning Card,Thẻ Học tập Ngày mai Quốc gia,国民明日学习卡,国民明日学習カード
가족관계증명서,"부모, 배우자, 자녀가 누구인지 공식적으로 보여주는 서류",Family Relation Certificate,Giấy chứng nhận quan hệ gia đình,家族关系证明书,家族関係証明書
소득금액증명원,지난 1년 동안 내가 번 돈이 정확히 얼마인지 증명하는 서류,Certificate of Income,Giấy chứng nhận thu nhập,所得金额证明 (收入证明),所得金額証明願
노인장기요양보험,몸이 불편한 어르신을 돌보는 비용을 나라에서 도와주는 보험,Long-term Care Insurance for the Elderly,Bảo hiểm chăm sóc dài hạn cho người già,老人长期疗养保险,老人長期療養保険
기초생활수급자,소득이 매우 적어 생활이 어려운 분들을 위해 정부가 생계비 등을 지원하는 대상,Basic Living Security Recipient,Người nhận trợ cấp bảo đảm sinh hoạt cơ bản,基础生活保障领取者,基礎生活保障受給者
한부모가족,엄마나 아빠 혼자서 아이를 키우는 가정,Single-parent Family,Gia đình đơn thân,单亲家庭,ひとり親家族
보육료,어린이집이나 유치원을 다닐 때 필요한 교육비,Childcare Subsidy,Phí chăm sóc trẻ (Học phí mầm non),保育费 (托儿费),保育料
산후조리비,아기를 낳은 후 산모가 건강을 회복할 때 드는 비용 지원,Postpartum Care Expenses,Chi phí chăm sóc sau sinh,产后调理费,産後ケア費用
장애인 연금,생활이 어려운 중증 장애인분들에게 매달 드리는 지원금,Disability Pension,Lương hưu cho người khuyết tật,残障人士养老金,障害者年金
소상공인,작은 가게를 운영하거나 혼자 일하는 사장님,Small Business Owner,Chủ doanh nghiệp nhỏ,小微企业主 (个体户),小商工人 (小規模事業者)
본인확인,휴대폰이나 신분증으로 본인이 맞는지 검사하는 절차,Identity Verification,Xác thực danh tính,本人确认 (身份验证),本人確認
공통서비스,특정 대상이 아니라 모든 국민에게 열려 있는 정부 서비스,General Services,Dịch vụ chung,通用服务,共通サービス
외국인근로자,고용허가제(E-9 비자 등)를 통해 한국에서 일하는 외국인 노동자,Migrant Workers,Người lao động nước ngoài,外籍劳动者,外国人労働者
결혼이민자,한국인과 결혼하여 한국에 살러 온 외국인,Marriage Migrants,Người nhập cư kết hôn,结婚移民者,結婚移民者
유학생,한국 대학교에 다니거나 한국어를 배우러 온 외국인 학생,International Students,Du học sinh,留学生,留学生
청년 월세 지원,소득이 적은 청년에게 매달 월세를 일정 금액 지원해 주는 제도,Youth Rent Subsidy,Hỗ trợ tiền thuê nhà cho thanh niên,青年月租补贴,青年家賃支援
에너지 바우처,"여름엔 시원하게, 겨울엔 따뜻하게 보낼 수 있게 전기·가스비를 깎아주는 쿠폰",Energy Voucher,Phiếu năng lượng (Voucher điện/ga),能源代金券 (水电煤补贴),エネルギーバウチャー
K-패스 (교통비 환급),대중교통을 많이 이용하면 쓴 돈의 일부를 다시 돌려받는 카드,K-Pass (Transit Fare Refund),K-Pass (Hoàn tiền giao thông),K-Pass (交通费返还),K-パス (交通費還付)
국민행복카드,"임신, 출산, 육아 등 다양한 정부 지원금을 카드 하나로 쓰는 것",National Happiness Card,Thẻ hạnh phúc quốc dân,国民幸福卡,国民幸福カード
아이돌봄 서비스,부모가 바쁠 때 집으로 도우미가 와서 아이를 봐주는 서비스,Childcare Support Program (I-Dolbom Service),Dịch vụ I-Dolbom (chăm sóc trẻ tại nhà),上门儿童照护服务（I-Dolbom）,アイドルボムサービス（訪問型子育て支援）
희망저축계좌,내가 매달 저축하면 정부가 돈을 더 얹어서 목돈을 만들어주는 통장,Hope Savings Account,Tài khoản tiết kiệm Hy vọng,希望储蓄账户,希望貯蓄口座
소득세 환급,세금을 너무 많이 냈을 때 나라에서 돈을 다시 돌려받는 것,Income Tax Refund,Hoàn thuế thu nhập,所得税退税,所得税還付
건강검진 지원,나라에서 무료 또는 저렴하게 건강 상태를 확인해 주는 혜택,Health Checkup Support,Hỗ trợ khám sức khỏe,健康体检支援,健康診断支援
평생교육 바우처,배우고 싶은 강의가 있을 때 교육비를 지원받는 카드,Lifelong Education Voucher,Voucher giáo dục trọn đời,终身教育福利券,生涯教育バウチャー
문화누리카드,"영화, 여행, 공연 등을 즐길 수 있도록 취약계층에 지원하는 카드",Culture Nuri Card,Thẻ văn hóa Nuri,文化享受卡,文化ヌリカード
다자녀 가구,자녀가 여러 명(보통 2~3명 이상) 있는 가족,Multi-child Household,Hộ gia đình đông con,多子女家庭,多子女世帯
급식비 지원,학교 점심값을 나라에서 대신 내주는 것,School Meal Subsidy,Hỗ trợ chi phí bữa ăn,学校伙食费支援,給食費支援
국가장학금,성적이 좋거나 형편이 어려운 대학생에게 나라가 주는 장학금,National Scholarship,Học bổng quốc gia,国家奖学金,国家奨学金
취업후 상환 학자금 대출,"대학 다닐 때 돈을 빌리고, 취직해서 돈을 벌기 시작할 때 갚는 제도",Income-Contingent Student Loan,Khoản vay sinh viên trả sau khi đi làm,就业后偿还学资金贷款,就業後償還学資金ローン
등기부등본,"이 집의 주인이 누구인지, 빚은 없는지 보여주는 공식 서류",Certified Copy of Real Estate Register,Bản sao sổ đăng ký bất động sản,不动产登记簿誊本,登記簿謄本
행복주택,"대학생, 청년, 신혼부부를 위해 학교나 직장 근처에 짓는 저렴한 임대 아파트",Happy Housing (Public Housing for Youth/Newlyweds),Nhà ở Hạnh phúc,幸福住宅 (青年/新婚公租房),幸福住宅
묵시적 갱신,집 계약이 끝날 때까지 서로 말이 없어서 자동으로 계약 기간이 연장되는 것,Implied Renewal (Automatic Renewal),Gia hạn hợp đồng tự động,法定更新 (自动续约),黙示的更新 (法定更新)
전세권 설정,내 보증금을 안전하게 지키기 위해 집 문서에 공식적으로 내 권리를 기록해 두는 것,Registration of Jeonse (Leasehold) Right,Đăng ký quyền lợi nhà thuê (Jeonse),全租权设定登记,伝貰権設定
체류자격,외국인이 한국에 머물 수 있는 비자 종류와 조건,Status of Stay,Tư cách lưu trú,居留资格,在留資格
영주권,외국인이 한국에서 기한 없이 계속 살 수 있는 권리 (F-5 비자),Permanent Residency,Quyền thường trú,永久居留权 (绿卡),永住権
귀화,외국 국적을 가진 사람이 한국 국적을 따서 한국인이 되는 것,Naturalization,Nhập quốc tịch,入籍 (归化),帰化
출입국관리사무소,비자 연장이나 외국인 등록 등 외국인의 체류 관련 업무를 담당하는 관공서,Immigration Service Office,Cục quản lý xuất nhập cảnh,出入境管理事务所,出入国管理事務所
혼인관계증명서,"내가 결혼을 했는지, 이혼을 했는지 공식적으로 확인해주는 서류",Marriage Relation Certificate,Giấy chứng nhận quan hệ hôn nhân,婚姻关系证明书,婚姻関係証明書
기본증명서,"나의 이름, 태어난 곳, 개명 기록 등 가장 기본적인 개인 정보를 보여주는 서류",Identification Certificate,Giấy chứng nhận thông tin cơ bản,基本证明书,基本証明書
인감증명서,중요한 계약을 할 때 내 공식 도장(인감)이 진짜인지 관공서에서 증명해주는 서류,Certificate of Seal Impression,Giấy chứng nhận con dấu cá nhân,印鉴证明书,印鑑証明書
전세자금대출,전셋집을 구할 때 필요한 큰돈(보증금)을 은행에서 빌려주는 것,Jeonse (Key Money) Loan,Khoản vay tiền cọc thuê nhà (Jeonse),全租资金贷款,伝貰資金ローン
주택청약종합저축,새 아파트를 분양받을 수 있는 자격을 얻기 위해 매달 꾸준히 돈을 모으는 통장,Housing Subscription Savings Account,Tài khoản tiết kiệm đăng ký mua nhà,住房认购综合储蓄,住宅申込み総合貯蓄
임대차신고제,집을 빌리거나 빌려줄 때 보증금과 월세가 얼마인지 관할청에 반드시 신고해야 하는 법,Housing Lease Reporting System,Chế độ khai báo cho thuê nhà,房屋租赁申报制,賃貸借申告制
건강보험자격득실확인서,내가 언제 직장에 들어가고 언제 퇴사해서 건강보험이 어떻게 변했는지 보여주는 서류,Certificate of Health Insurance Eligibility History,Giấy xác nhận quá trình đủ điều kiện bảo hiểm y tế,健康保险资格得失确认书,健康保険資格得失確認書
산재보험,일하다가 다치거나 병에 걸렸을 때 치료비와 생활비를 보상해주는 보험,Industrial Accident Compensation Insurance,Bảo hiểm tai nạn lao động,工伤保险,労災保険
고용보험,직장을 잃었을 때 실업급여를 받기 위해 가입하는 국가 보험,Employment Insurance,Bảo hiểm việc làm,雇佣保险 (失业保险),雇用保険
4대보험,"직장인이 필수로 가입해야 하는 국민연금, 건강보험, 고용보험, 산재보험",Four Major Social Insurances,4 loại bảo hiểm xã hội bắt buộc,四大社会保险,4大保険
최저임금,국가가 정해놓은 1시간당 줘야 하는 최소한의 월급 기준선,Minimum Wage,Mức lương tối thiểu,最低工资,最低賃金
주휴수당,일주일에 정해진 시간을 다 일하면 하루를 쉬어도 추가로 받을 수 있는 수당,Weekly Holiday Allowance,Phụ cấp ngày nghỉ hàng tuần,周休津贴,週休手当
퇴직금,한 회사에서 1년 이상 일하고 그만둘 때 회사에서 한 번에 챙겨주는 돈,Severance Pay,Tiền trợ cấp thôi việc,退职金 (遣散费),退職金
종합소득세,"1년 동안 벌어들인 모든 소득(월급, 알바비, 사업수익 등)을 합쳐서 5월에 내는 세금",Global Income Tax,Thuế thu nhập tổng hợp,综合所得税,総合所得税
원천징수,월급을 줄 때 회사가 먼저 세금을 떼고 남은 돈만 나에게 주는 방식,Withholding Tax,Khấu trừ thuế tại nguồn,源泉扣缴 (预扣税),源泉徴収
근로소득원천징수영수증,"작년 1년 동안 내 월급이 얼마였고, 세금은 얼마나 뗐는지 한눈에 보여주는 서류",Withholding Tax Receipt,Biên lai khấu trừ thuế thu nhập cá nhân,劳动所得源泉扣缴收据,勤労所得源泉徴収領収書
육아휴직,만 8세 이하의 자녀를 돌보기 위해 회사를 잠시 쉬는 것 (보통 월급의 일부가 나옴),Parental Leave,Nghỉ phép nuôi con,育儿休假 (产假/陪产假),育児休業
출산전후휴가,아기를 낳기 전과 낳은 후에 엄마가 건강을 회복하도록 회사를 쉴 수 있는 기간,Maternity Leave,Nghỉ thai sản,产前产后休假,出産前後休暇
아동수당,아이를 키우는 가정의 부담을 덜어주기 위해 만 8세 미만 모든 아동에게 매달 주는 돈,Child Allowance,Trợ cấp trẻ em,儿童补贴,児童手当
부모급여,태어난 지 얼마 안 된 아기(0~11개월)를 키우는 부모에게 매달 현금으로 주는 지원금,Parental Allowance,Trợ cấp cha mẹ,父母补贴,父母給与
첫만남이용권,"아기가 태어났을 때 기저귀, 분유 등을 사라고 주는 200만 원 상당의 바우처",First Encounter Voucher (Birth Voucher),Voucher chào đời,初遇代金券 (生育补贴),初対面利用券 (出産祝金)
임신·출산 진료비 지원,산부인과 병원비나 약값을 아낄 수 있도록 국민행복카드로 지원해 주는 돈,Pregnancy and Childbirth Medical Expense Support,Hỗ trợ chi phí khám thai và sinh con,孕产医疗费支援,妊娠・出産診療費支援
청년내일저축계좌,일하는 청년이 매달 저축하면 정부가 똑같이 돈을 보태서 목돈을 불려주는 통장,Youth Tomorrow Savings Account,Tài khoản tiết kiệm thanh niên ngày mai,青年明日储蓄账户,青年明日貯蓄口座
무료법률상담,돈을 떼이거나 억울한 일이 생겼을 때 변호사에게 공짜로 법적 조언을 받을 수 있는 혜택,Free Legal Counseling,Tư vấn pháp luật miễn phí,免费法律咨询,無料法律相談
다문화가족지원센터,"한국어 교육, 가족 상담 등 결혼이민자와 그 가족들이 한국에 잘 적응하도록 돕는 기관",Multicultural Family Support Center,Trung tâm hỗ trợ gia đình đa văn hóa,多文化家庭支援中心,多文化家族支援センター
외국인등록사실증명,외국인이 한국에 공식적으로 등록되어 살고 있다는 것을 증명하는 서류 (등본 같은 역할),Certificate of Alien Registration Facts,Giấy xác nhận thông tin đăng ký người nước ngoài,外国人登录事实证明书,外国人登録事実証明書
범죄경력회보서,이 사람이 과거에 죄를 짓고 경찰서에 간 적이 있는지 공식적으로 확인해 주는 서류,Criminal Record Certificate,Lý lịch tư pháp,犯罪经历回查书 (无犯罪记录证明),犯罪経歴回報書 (無犯罪証明書)
생계급여,"생활비가 턱없이 부족한 극빈층에게 매달 밥값, 생활비 명목으로 주는 현금",Livelihood Benefit,Trợ cấp sinh hoạt,生计补贴 (最低生活保障金),生計給付
의료급여,형편이 어려워서 병원에 가기 힘든 사람들에게 나라가 병원비 대부분을 대신 내주는 혜택,Medical Benefit,Trợ cấp y tế,医疗救助 (医疗补贴),医療給付
교육급여,"기초생활수급자 자녀가 학교에 다닐 때 필요한 학용품비, 교재비 등을 지원해 주는 돈",Education Benefit,Trợ cấp giáo dục,教育补贴,教育給付
체류기간 연장,비자 만료일이 다가올 때 한국에 더 머물기 위해 허가를 받는 것,Extension of Stay,Gia hạn thời gian lưu trú,延长停留期限 (签证延期),在留期間延長
